Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
BASE SAN MARTÍN;May;;;5.9;;-4.8;-2.0;-7.8;
BASE SAN MARTÍN;Jun;;;5.2;;-8.9;-5.5;-13.0;
BASE SAN MARTÍN;Jul;;;5.4;;-11.5;-7.3;-16.1;
BASE SAN MARTÍN;Ago;;;5.8;;-11.2;-6.7;-16.3;
BASE SAN MARTÍN;Sep;;;6.2;;-9.0;-4.8;-14.1;
BASE SAN MARTÍN;Oct;;;6.5;;-5.3;-1.6;-9.6;
BASE SAN MARTÍN;Nov;;;6.3;;-1.8;1.5;-5.4;
BASE SAN MARTÍN;Dic;;73.2;6.2;;0.8;3.5;-2.0;
BERNARDO DE IRIGOYEN AERO;Ene;11.9;77.6;5.3;207.1;22.9;28.1;19.0;
BERNARDO DE IRIGOYEN AERO;Feb;11.0;78.6;5.2;189.1;22.6;27.6;18.8;
BERNARDO DE IRIGOYEN AERO;Mar;10.1;77.9;4.8;181.0;21.7;26.9;17.9;
BERNARDO DE IRIGOYEN AERO;Abr;7.7;77.7;4.5;173.9;19.6;24.4;15.9;
BERNARDO DE IRIGOYEN AERO;May;8.6;79.0;4.7;196.1;16.2;20.6;12.9;
BERNARDO DE IRIGOYEN AERO;Jun;8.6;79.8;4.8;185.5;15.2;19.3;11.9;
BERNARDO DE IRIGOYEN AERO;Jul;7.8;74.5;4.4;135.2;14.9;19.6;11.2;
BERNARDO DE IRIGOYEN AERO;Ago;6.5;67.4;4.0;106.4;16.9;22.1;12.8;
BERNARDO DE IRIGOYEN AERO;Sep;9.1;70.4;4.4;198.1;18.0;23.3;13.8;
BERNARDO DE IRIGOYEN AERO;Oct;12.0;75.3;5.0;277.9;19.8;25.0;15.6;
BERNARDO DE IRIGOYEN AERO;Nov;8.9;72.1;4.7;194.8;21.0;26.3;16.5;
BERNARDO DE IRIGOYEN AERO;Dic;11.0;75.2;5.1;204.5;22.5;27.5;18.3;
BOLÍVAR AERO;Ene;7.0;68.5;3.3;113.8;22.3;29.6;15.0;
BOLÍVAR AERO;Feb;6.0;73.8;3.4;106.0;21.0;28.3;14.1;
BOLÍVAR AERO;Mar;6.5;77.2;3.3;133.0;18.8;26.1;12.3;
BOLÍVAR AERO;Abr;6.9;78.5;3.6;106.7;14.8;22.0;9.2;
BOLÍVAR AERO;May;4.6;81.8;4.1;58.7;11.4;17.8;6.2;
BOLÍVAR AERO;Jun;3.8;81.2;4.2;37.8;8.3;14.6;3.1;
BOLÍVAR AERO;Jul;3.9;79.8;4.2;35.4;7.3;13.8;2.0;
BOLÍVAR AERO;Ago;3.5;75.0;3.9;41.2;9.4;16.6;3.6;
BOLÍVAR AERO;Sep;5.1;72.9;3.9;68.2;11.8;18.8;5.6;
BOLÍVAR AERO;Oct;8.0;73.7;4.1;118.9;15.2;21.7;8.9;
BOLÍVAR AERO;Nov;7.5;69.0;3.6;94.8;18.4;25.3;11.4;
BOLÍVAR AERO;Dic;7.2;66.0;3.3;103.6;21.2;28.6;13.7;
BUENOS AIRES OBSERVATORIO;Ene;7.5;64.6;3.2;134.4;24.9;30.1;20.2;8.9
BUENOS AIRES OBSERVATORIO;Feb;6.8;69.1;3.2;129.3;23.8;28.9;19.4;8.3
BUENOS AIRES OBSERVATORIO;Mar;6.7;72.0;3.2;120.0;22.0;27.0;17.7;7.6
BUENOS AIRES OBSERVATORIO;Abr;7.1;75.6;3.6;130.3;18.2;23.2;14.1;7.2
BUENOS AIRES OBSERVATORIO;May;5.2;78.7;4.1;93.5;14.8;19.4;11.1;7.1
BUENOS AIRES OBSERVATORIO;Jun;4.9;78.2;4.3;61.5;12.0;16.4;8.4;7.2
BUENOS AIRES OBSERVATORIO;Jul;5.6;77.0;4.2;74.4;11.0;15.5;7.5;7.7
BUENOS AIRES OBSERVATORIO;Ago;4.9;72.6;4.0;70.3;13.0;17.9;8.9;8.4
BUENOS AIRES OBSERVATORIO;Sep;5.8;69.5;3.9;80.6;14.9;19.7;10.6;9.2
BUENOS AIRES OBSERVATORIO;Oct;7.9;69.4;4.0;122.9;17.9;22.6;13.4;9.5
BUENOS AIRES OBSERVATORIO;Nov;7.2;65.3;3.6;117.6;20.9;26.0;16.1;9.6
BUENOS AIRES OBSERVATORIO;Dic;6.9;62.8;3.2;122.8;23.6;29.0;18.5;9.1
CATAMARCA AERO;Ene;7.0;55.0;3.5;80.9;27.8;34.5;21.9;22.0
CATAMARCA AERO;Feb;6.0;59.1;3.5;73.8;26.4;33.0;20.8;19.8
CATAMARCA AERO;Mar;5.1;62.5;3.3;50.1;24.6;31.3;19.2;18.9
CATAMARCA AERO;Abr;4.1;65.0;3.4;31.1;20.7;27.6;15.0;15.5
CATAMARCA AERO;May;2.2;66.5;3.5;12.7;16.2;23.4;10.3;13.0
CATAMARCA AERO;Jun;1.2;65.3;3.3;7.0;12.2;20.2;5.6;11.5
CATAMARCA AERO;Jul;1.1;56.4;2.7;4.1;11.7;20.3;4.5;12.4
CATAMARCA AERO;Ago;0.6;44.7;2.4;2.9;15.8;24.3;7.7;16.6
CATAMARCA AERO;Sep;1.3;40.5;2.5;5.6;19.8;27.7;12.2;19.1
CATAMARCA AERO;Oct;3.0;44.4;3.0;24.4;23.7;30.8;16.9;21.7
CATAMARCA AERO;Nov;4.3;47.0;3.0;45.1;26.0;32.8;19.6;24.0
CATAMARCA AERO;Dic;6.3;50.2;3.1;73.4;27.6;34.6;21.3;23.6
CERES AERO;Ene;7.0;70.8;3.2;140.0;25.5;32.3;19.4;
CERES AERO;Feb;6.5;74.8;3.2;116.8;24.3;31.1;18.6;
CERES AERO;Mar;6.8;77.0;3.3;147.3;22.5;29.3;17.0;
CERES AERO;Abr;5.9;79.7;3.7;101.1;19.1;25.5;14.1;
CERES AERO;May;3.3;80.8;4.1;39.7;15.5;22.0;10.7;
CERES AERO;Jun;2.3;79.9;4.1;18.8;12.7;19.4;7.8;
CERES AERO;Jul;1.3;74.9;3.4;8.4;11.6;19.1;6.1;
CERES AERO;Ago;1.4;68.3;3.0;12.0;14.0;22.2;7.5;
CERES AERO;Sep;3.3;66.2;3.2;31.3;16.7;24.5;10.1;
CERES AERO;Oct;5.9;68.6;3.7;80.5;20.0;27.1;13.7;
CERES AERO;Nov;6.8;68.1;3.1;106.4;22.4;29.3;15.9;
CERES AERO;Dic;7.4;69.3;3.2;140.9;24.6;31.4;18.1;
CHAMICAL AERO;Ene;5.8;58.3;3.5;93.4;27.0;33.8;20.6;8.4
CHAMICAL AERO;Feb;5.3;62.6;3.7;88.3;25.3;31.9;19.5;6.9
CHAMICAL AERO;Mar;5.2;67.3;3.7;67.2;23.2;29.5;18.0;6.2
CHAMICAL AERO;Abr;3.1;69.0;3.8;27.6;19.3;25.6;14.3;5.0
CHAMICAL AERO;May;1.9;70.3;3.9;10.2;15.2;21.4;10.2;4.3
CHAMICAL AERO;Jun;0.7;68.2;3.5;3.4;11.8;18.6;6.5;4.1
CHAMICAL AERO;Jul;0.6;60.2;2.7;3.2;11.0;18.7;5.0;4.1
CHAMICAL AERO;Ago;0.4;49.7;2.2;2.7;14.3;22.4;7.5;6.0
CHAMICAL AERO;Sep;1.4;46.5;2.5;7.8;18.1;25.7;10.9;8.2
CHAMICAL AERO;Oct;2.5;48.3;2.9;28.1;22.1;29.3;15.0;10.1
CHAMICAL AERO;Nov;4.0;50.7;3.1;45.5;24.6;31.8;17.8;9.9
CHAMICAL AERO;Dic;5.6;53.5;3.2;82.7;26.6;33.8;19.6;8.8
CHILECITO AERO;Ene;;59.3;3.6;;25.7;33.7;19.1;
CHILECITO AERO;Feb;3.6;62.0;3.6;32.0;24.4;32.0;17.7;
CHILECITO AERO;Mar;;65.3;3.4;;22.3;29.9;16.2;
CHILECITO AERO;Abr;1.7;;3.1;11.7;18.1;25.5;11.8;
CHILECITO AERO;May;0.8;68.5;3.1;3.7;13.6;21.0;6.8;
CHILECITO AERO;Jun;0.3;65.3;2.7;1.2;10.3;18.3;2.7;
CHILECITO AERO;Jul;0.6;61.4;2.1;2.3;9.5;18.0;1.5;
CHILECITO AERO;Ago;;53.7;1.9;;13.1;21.6;3.9;
CHILECITO AERO;Sep;0.4;51.0;2.0;2.2;16.6;25.0;7.8;
CHILECITO AERO;Oct;0.8;52.6;2.5;5.4;20.7;28.7;12.6;
CHILECITO AERO;Nov;;54.3;2.8;;23.2;31.7;16.1;
CHILECITO AERO;Dic;;55.3;3.0;;25.6;33.7;18.4;
COMODORO RIVADAVIA AERO;Ene;1.6;39.0;4.2;10.7;19.8;26.3;13.5;23.2
COMODORO RIVADAVIA AERO;Feb;2.3;44.8;4.2;17.3;18.8;25.1;12.8;20.4
COMODORO RIVADAVIA AERO;Mar;3.0;48.4;4.2;27.7;16.5;22.7;11.0;18.1
COMODORO RIVADAVIA AERO;Abr;2.6;51.0;4.1;31.8;13.3;18.8;8.5;18.5
COMODORO RIVADAVIA AERO;May;3.8;57.8;4.5;33.5;10.0;14.6;5.7;18.0
COMODORO RIVADAVIA AERO;Jun;4.2;59.0;4.5;37.2;7.3;11.3;3.3;20.6
COMODORO RIVADAVIA AERO;Jul;3.3;57.9;4.4;21.4;6.7;11.0;2.7;18.6
COMODORO RIVADAVIA AERO;Ago;3.3;54.3;4.5;19.3;8.2;13.1;3.9;20.0
COMODORO RIVADAVIA AERO;Sep;3.6;51.8;4.5;19.8;10.2;15.6;5.2;19.3
COMODORO RIVADAVIA AERO;Oct;2.5;46.3;4.5;12.6;13.1;18.9;7.4;19.5
COMODORO RIVADAVIA AERO;Nov;2.4;41.9;4.5;14.3;15.9;22.2;9.9;22.6
COMODORO RIVADAVIA AERO;Dic;2.1;39.8;4.5;12.5;18.3;24.7;12.2;24.4
CONCORDIA AERO;Ene;6.8;65.4;2.9;140.1;25.6;31.9;19.5;
CONCORDIA AERO;Feb;7.1;70.6;3.1;152.7;24.4;30.4;18.9;
CONCORDIA AERO;Mar;7.0;73.2;2.9;136.4;22.6;28.6;17.2;
CONCORDIA AERO;Abr;7.7;77.3;3.3;173.2;19.0;24.8;14.0;
CONCORDIA AERO;May;6.2;81.5;3.8;111.5;15.4;20.8;10.9;
CONCORDIA AERO;Jun;5.1;81.6;4.0;86.3;13.0;18.2;8.5;
CONCORDIA AERO;Jul;4.3;78.5;3.7;55.3;12.1;17.8;7.4;
CONCORDIA AERO;Ago;4.9;73.7;3.4;74.8;14.1;20.5;8.7;
CONCORDIA AERO;Sep;5.8;71.6;3.5;89.6;16.1;22.3;10.5;
CONCORDIA AERO;Oct;8.1;71.7;3.6;161.6;19.1;24.9;13.5;
CONCORDIA AERO;Nov;6.7;66.3;3.0;134.6;21.8;27.9;15.6;
CONCORDIA AERO;Dic;7.3;64.6;2.9;151.9;24.2;30.5;17.9;
CORONEL PRINGLES AERO*;Ene;6.4;61.5;3.3;73.9;21.5;29.3;13.7;10.8
CORONEL PRINGLES AERO*;Feb;6.4;68.7;3.5;91.5;19.9;27.5;13.0;9.3
CORONEL PRINGLES AERO*;Mar;6.6;74.4;3.5;81.9;17.5;24.9;11.0;9.1
CORONEL PRINGLES AERO*;Abr;5.6;76.1;3.7;62.9;13.2;20.4;7.3;8.0
CORONEL PRINGLES AERO*;May;4.6;79.5;4.3;37.9;9.9;16.4;4.8;8.3
CORONEL PRINGLES AERO*;Jun;3.3;77.5;4.2;22.5;7.1;13.3;1.9;10.2
CORONEL PRINGLES AERO*;Jul;4.1;76.4;4.3;37.0;6.2;12.5;1.1;9.7
CORONEL PRINGLES AERO*;Ago;4.1;72.9;4.1;38.3;7.8;14.9;2.2;10.3
CORONEL PRINGLES AERO*;Sep;5.5;71.4;4.1;50.6;10.1;17.2;3.5;10.0
CORONEL PRINGLES AERO*;Oct;7.6;71.5;4.2;93.2;13.4;20.0;6.8;9.8
CORONEL PRINGLES AERO*;Nov;6.8;65.6;3.7;82.4;17.0;24.3;9.4;10.6
CORONEL PRINGLES AERO*;Dic;6.9;61.2;3.4;81.2;20.2;28.1;12.0;11.5
CORONEL SUÁREZ AERO;Ene;6.8;;;93.5;;29.0;13.8;
CORONEL SUÁREZ AERO;Mar;6.4;75.0;3.5;92.3;17.7;25.1;11.0;
CORONEL SUÁREZ AERO;Abr;5.3;77.1;3.8;69.4;13.3;20.6;7.1;
CORONEL SUÁREZ AERO;May;4.1;81.5;4.4;45.3;9.7;16.4;4.3;
CORONEL SUÁREZ AERO;Jun;2.7;80.1;4.4;24.1;6.8;13.2;1.4;
CORONEL SUÁREZ AERO;Jul;3.1;;;30.0;;12.5;0.4;
CORONEL SUÁREZ AERO;Ago;3.4;73.0;4.1;35.2;7.9;15.2;1.5;
CORONEL SUÁREZ AERO;Sep;5.0;71.5;4.0;51.4;10.3;17.6;3.5;
CORONEL SUÁREZ AERO;Oct;7.0;72.0;4.2;94.2;13.5;20.3;6.6;
CORONEL SUÁREZ AERO;Nov;6.6;65.6;3.8;74.0;16.9;24.3;9.4;
CORONEL SUÁREZ AERO;Dic;6.8;60.9;3.6;83.4;20.2;27.9;12.1;
CORRIENTES AERO;Ene;7.6;71.6;3.5;179.5;26.9;33.0;21.6;11.6
CORRIENTES AERO;Feb;7.3;74.1;3.6;152.2;26.1;32.0;21.1;11.4
CORRIENTES AERO;Mar;7.1;76.6;3.3;155.2;24.5;30.5;19.7;11.2
CORRIENTES AERO;Abr;7.2;78.8;3.6;170.8;21.6;27.3;17.2;10.3
CORRIENTES AERO;May;5.5;80.3;3.9;87.8;18.0;23.4;13.7;10.7
CORRIENTES AERO;Jun;4.5;80.4;4.3;65.3;16.1;21.4;12.0;10.7
CORRIENTES AERO;Jul;3.6;75.2;3.7;32.2;15.2;21.2;10.4;11.2
CORRIENTES AERO;Ago;3.1;70.0;3.2;40.3;17.1;23.8;11.6;13.7
CORRIENTES AERO;Sep;5.2;68.5;3.6;60.3;19.1;25.8;13.6;13.8
CORRIENTES AERO;Oct;8.3;72.1;3.8;153.8;22.1;28.1;16.8;14.5
CORRIENTES AERO;Nov;8.1;70.7;3.2;184.8;23.8;29.7;18.0;13.0
CORRIENTES AERO;Dic;7.6;71.2;3.5;172.9;26.0;31.9;20.5;12.2
CÓRDOBA AERO;Ene;8.5;68.1;3.8;121.9;23.5;29.9;17.5;12.6
CÓRDOBA AERO;Feb;7.9;74.0;3.9;140.2;22.0;28.2;16.5;11.3
CÓRDOBA AERO;Mar;7.3;75.1;3.8;116.9;20.5;27.0;15.1;11.5
CÓRDOBA AERO;Abr;5.2;73.1;4.0;65.3;17.3;24.1;11.9;11.1
CÓRDOBA AERO;May;3.2;73.5;4.3;24.4;13.7;20.6;8.4;11.0
CÓRDOBA AERO;Jun;0.9;69.4;3.7;6.6;10.6;18.3;4.7;11.4
CÓRDOBA AERO;Jul;1.1;63.5;3.4;6.0;9.8;17.7;3.7;11.9
CÓRDOBA AERO;Ago;0.7;55.4;3.0;8.5;12.4;20.8;5.5;14.1
